time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-16 00:00:00+00:00,6,5,8,1
2022-05-17 00:00:00+00:00,2,2,0,0
2022-05-18 00:00:00+00:00,0,0,4,1
2022-05-19 00:00:00+00:00,9,6,0,0
2022-05-23 00:00:00+00:00,0,0,1,1
2022-05-25 00:00:00+00:00,0,0,1,1
2022-05-28 00:00:00+00:00,4,3,15,2
2022-05-30 00:00:00+00:00,0,0,2,1
2022-05-31 00:00:00+00:00,0,0,6,2
2022-06-02 00:00:00+00:00,0,0,1,1
2022-06-04 00:00:00+00:00,0,0,1,1
2022-06-08 00:00:00+00:00,0,0,4,1
2022-07-07 00:00:00+00:00,1,1,0,0
2022-07-24 00:00:00+00:00,1,1,0,0
2022-08-19 00:00:00+00:00,1,1,0,0
2022-08-28 00:00:00+00:00,18,8,16,1
2022-08-29 00:00:00+00:00,0,0,1,1
2022-09-01 00:00:00+00:00,1,1,0,0
2022-09-14 00:00:00+00:00,1,1,0,0
2022-09-18 00:00:00+00:00,1,1,0,0
2022-10-25 00:00:00+00:00,1,1,0,0
2022-11-23 00:00:00+00:00,2,1,0,0
2022-12-01 00:00:00+00:00,1,1,0,0
2022-12-07 00:00:00+00:00,2,1,0,0
2022-12-16 00:00:00+00:00,0,0,1,1
2022-12-18 00:00:00+00:00,1,1,0,0
2022-12-29 00:00:00+00:00,1,1,0,0
